"translation_key","source_type","route","owner","status"
"nav.flagship","dictionary","Dashboard","i18n","localized"
"nav.simulations","dictionary","Dashboard","i18n","localized"
"sidebar.ai_mentor","dictionary","Dashboard","i18n","localized"
"sidebar.plan_label","dictionary","Dashboard","i18n","localized"
"sidebar.hr_path","dictionary","Dashboard","i18n","localized"
"sidebar.career_progress","dictionary","Dashboard","i18n","localized"
"sidebar.founder_center","dictionary","Dashboard","i18n","localized"
"sidebar.help","dictionary","Dashboard","i18n","localized"
"pm.eng_name","dictionary","Homepage","i18n","localized"
"pm.eng_tag","dictionary","Homepage","i18n","localized"
"pm.eng_desc","dictionary","Homepage","i18n","localized"
"pm.biz_name","dictionary","Homepage","i18n","localized"
"pm.biz_tag","dictionary","Homepage","i18n","localized"
"pm.biz_desc","dictionary","Homepage","i18n","localized"
"pm.gov_name","dictionary","Homepage","i18n","localized"
"pm.gov_tag","dictionary","Homepage","i18n","localized"
"pm.gov_desc","dictionary","Homepage","i18n","localized"
"pm.human_name","dictionary","Homepage","i18n","localized"
"pm.human_tag","dictionary","Homepage","i18n","localized"
"pm.human_desc","dictionary","Homepage","i18n","localized"
"pm.badge","dictionary","Homepage","i18n","localized"
"programs.title","dictionary","Homepage","i18n","localized"
"programs.subtitle","dictionary","Homepage","i18n","localized"
"pm.count_programs","dictionary","Homepage","i18n","localized"
"pm.more","dictionary","Homepage","i18n","localized"
"pm.explore","dictionary","Homepage","i18n","localized"
"pm.sim_label","dictionary","Homepage","i18n","localized"
"pm.sim_title","dictionary","Homepage","i18n","localized"
"pm.sim_desc","dictionary","Homepage","i18n","localized"
"pm.view_sims","dictionary","Homepage","i18n","localized"
"pm.unlock_l500","dictionary","Homepage","i18n","localized"
"pm.foundation_label","dictionary","Homepage","i18n","localized"
"pm.foundation_title","dictionary","Homepage","i18n","localized"
"pm.foundation_desc","dictionary","Homepage","i18n","localized"
"pm.browse_foundation","dictionary","Homepage","i18n","localized"
"se.exit","dictionary","Simulations","i18n","localized"
"se.your_role","dictionary","Simulations","i18n","localized"
"se.company","dictionary","Simulations","i18n","localized"
"se.briefing","dictionary","Simulations","i18n","localized"
"se.people","dictionary","Simulations","i18n","localized"
"se.success","dictionary","Simulations","i18n","localized"
"se.launch","dictionary","Simulations","i18n","localized"
"se.tools","dictionary","Simulations","i18n","localized"
"se.placeholder","dictionary","Simulations","i18n","localized"
"se.send","dictionary","Simulations","i18n","localized"
"se.turn","dictionary","Simulations","i18n","localized"
"se.evaluating","dictionary","Simulations","i18n","localized"
"se.reviewing","dictionary","Simulations","i18n","localized"
"se.xp","dictionary","Simulations","i18n","localized"
"se.strengths","dictionary","Simulations","i18n","localized"
"se.improve","dictionary","Simulations","i18n","localized"
"se.key_decisions","dictionary","Simulations","i18n","localized"
"se.back_sims","dictionary","Simulations","i18n","localized"
"se.retry","dictionary","Simulations","i18n","localized"
"creed.heading","dictionary","Other","i18n","localized"
"creed.welcome_back","dictionary","Other","i18n","localized"
"creed.intro","dictionary","Other","i18n","localized"
"creed.values_line","dictionary","Other","i18n","localized"
"creed.scroll_hint","dictionary","Other","i18n","localized"
"creed.ack_aria","dictionary","Other","i18n","localized"
"creed.ack_label","dictionary","Other","i18n","localized"
"creed.entering","dictionary","Other","i18n","localized"
"creed.enter_btn","dictionary","Other","i18n","localized"
"creed.read_full","dictionary","Other","i18n","localized"
"footer.tagline","dictionary","Homepage","i18n","localized"
"footer.blurb","dictionary","Homepage","i18n","localized"
"footer.schools_h","dictionary","Homepage","i18n","localized"
"footer.s_eng","dictionary","Homepage","i18n","localized"
"footer.s_biz","dictionary","Homepage","i18n","localized"
"footer.s_gov","dictionary","Homepage","i18n","localized"
"footer.s_human","dictionary","Homepage","i18n","localized"
"footer.platform_h","dictionary","Homepage","i18n","localized"
"footer.certifications","dictionary","Homepage","i18n","localized"
"footer.talent_network","dictionary","Homepage","i18n","localized"
"footer.pricing","dictionary","Homepage","i18n","localized"
"footer.employer_portal","dictionary","Homepage","i18n","localized"
"footer.student_portal","dictionary","Homepage","i18n","localized"
"footer.company_h","dictionary","Homepage","i18n","localized"
"footer.about","dictionary","Homepage","i18n","localized"
"footer.referral","dictionary","Homepage","i18n","localized"
"footer.community","dictionary","Homepage","i18n","localized"
"footer.feedback","dictionary","Homepage","i18n","localized"
"cta.start_journey","dictionary","Homepage","i18n","localized"
"cta.title","dictionary","Homepage","i18n","localized"
"cta.subtitle","dictionary","Homepage","i18n","localized"
"chatbot.greeting","dictionary","Homepage","i18n","localized"
"chatbot.error","dictionary","Homepage","i18n","localized"
"chatbot.subtitle","dictionary","Homepage","i18n","localized"
"chatbot.ready","dictionary","Homepage","i18n","localized"
"chatbot.placeholder","dictionary","Homepage","i18n","localized"
"header.enterprise","dictionary","Homepage","i18n","localized"
"header.founder","dictionary","Homepage","i18n","localized"
"header.back_portal","dictionary","Homepage","i18n","localized"
"header.done_day","dictionary","Homepage","i18n","localized"
"header.my_portal","dictionary","Homepage","i18n","localized"
"header.sign_in","dictionary","Homepage","i18n","localized"
"header.enroll","dictionary","Homepage","i18n","localized"
"career.badge","dictionary","Homepage","i18n","localized"
"career.title","dictionary","Homepage","i18n","localized"
"career.statement","dictionary","Homepage","i18n","localized"
"career.disclaimer","dictionary","Homepage","i18n","localized"
"career.enrolled","dictionary","Homepage","i18n","localized"
"career.cta","dictionary","Homepage","i18n","localized"
"career.enrolledSub","dictionary","Homepage","i18n","localized"
"career.ctaSub","dictionary","Homepage","i18n","localized"
"pay.completed_m1","dictionary","Pricing","i18n","localized"
"pay.completed_m1_sub","dictionary","Pricing","i18n","localized"
"pay.locked_title","dictionary","Pricing","i18n","localized"
"pay.locked_sub","dictionary","Pricing","i18n","localized"
"pay.your_selected","dictionary","Pricing","i18n","localized"
"pay.all_access","dictionary","Pricing","i18n","localized"
"pay.per_month","dictionary","Pricing","i18n","localized"
"pay.unlock_btn","dictionary","Pricing","i18n","localized"
"pay.secure","dictionary","Pricing","i18n","localized"
"pay.back_portal","dictionary","Pricing","i18n","localized"
"referral.link.loginRequired","dictionary","Other","i18n","localized"
"referral.link.login","dictionary","Other","i18n","localized"
"referral.link.title","dictionary","Other","i18n","localized"
"referral.link.referrals","dictionary","Other","i18n","localized"
"referral.link.share","dictionary","Other","i18n","localized"
"about.badge","dictionary","Homepage","i18n","localized"
"about.title","dictionary","Homepage","i18n","localized"
"about.p1","dictionary","Homepage","i18n","localized"
"about.founder","dictionary","Homepage","i18n","localized"
"founder.quote","dictionary","Homepage","i18n","localized"
"founder.bio.title","dictionary","Homepage","i18n","localized"
"founder.bio.p1","dictionary","Homepage","i18n","localized"
"founder.bio.p2","dictionary","Homepage","i18n","localized"
"staff.title","dictionary","Homepage","i18n","localized"
"staff.subtitle","dictionary","Homepage","i18n","localized"
"common.back","dictionary","Mobile nav","i18n","localized"
"enroll.gate.save_error","dictionary","Courses","i18n","localized"
"enroll.gate.title","dictionary","Courses","i18n","localized"
"enroll.gate.subtitle","dictionary","Courses","i18n","localized"
"enroll.gate.switch_locked","dictionary","Courses","i18n","localized"
"enroll.gate.switch_once","dictionary","Courses","i18n","localized"
"enroll.gate.module_free","dictionary","Courses","i18n","localized"
"enroll.gate.current","dictionary","Courses","i18n","localized"
"enroll.gate.saving","dictionary","Courses","i18n","localized"
"enroll.gate.start_with","dictionary","Courses","i18n","localized"
"enroll.gate.select_program","dictionary","Courses","i18n","localized"
"enroll.gate.upgrade_hint","dictionary","Courses","i18n","localized"
"quiz.err_load","dictionary","Program Details","i18n","localized"
"quiz.answer_all","dictionary","Program Details","i18n","localized"
"quiz.answer_all_desc","dictionary","Program Details","i18n","localized"
"quiz.congrats","dictionary","Program Details","i18n","localized"
"quiz.passed_desc","dictionary","Program Details","i18n","localized"
"quiz.not_yet","dictionary","Program Details","i18n","localized"
"quiz.not_yet_desc","dictionary","Program Details","i18n","localized"
"quiz.err_submit","dictionary","Program Details","i18n","localized"
"quiz.loading","dictionary","Program Details","i18n","localized"
"quiz.passed_title","dictionary","Program Details","i18n","localized"
"quiz.you_scored","dictionary","Program Details","i18n","localized"
"quiz.chapter_done","dictionary","Program Details","i18n","localized"
"quiz.video_done","dictionary","Program Details","i18n","localized"
"quiz.continue","dictionary","Program Details","i18n","localized"
"quiz.score_need","dictionary","Program Details","i18n","localized"
"quiz.try_again","dictionary","Program Details","i18n","localized"
"quiz.remediation","dictionary","Program Details","i18n","localized"
"quiz.remediation_desc","dictionary","Program Details","i18n","localized"
"quiz.reviewing","dictionary","Program Details","i18n","localized"
"quiz.of","dictionary","Program Details","i18n","localized"
"quiz.correct","dictionary","Program Details","i18n","localized"
